Node	Category
Module	mod
Interactive	mod
Expression	mod
FunctionDef	stmt
ClassDef	stmt
Return	stmt
Delete	stmt
Assign	stmt
AugAssign	stmt
Print	stmt
For	stmt
While	stmt
If	stmt
With	stmt
Raise	stmt
TryExcept	stmt
TryFinally	stmt
Assert	stmt
Import	stmt
ImportFrom	stmt
Exec	stmt
Global	stmt
Expr	stmt
Pass	stmt
Break	stmt
Continue	stmt
attributes	stmt
BoolOp	expr
BinOp	expr
UnaryOp	expr
Lambda	expr
IfExp	expr
Dict	expr
Set	expr
ListComp	expr
SetComp	expr
DictComp	expr
GeneratorExp	expr
Yield	expr
Compare	expr
Call	expr
Repr	expr
Num	expr
Str	expr
Attribute	expr
Subscript	expr
Name	expr
List	expr
Tuple	expr
Load	expr_context
Store	expr_context
Del	expr_context
AugLoad	expr_context
AugStore	expr_context
Param	expr_context
Ellipsis	slice
Slice	slice
ExtSlice	slice
Index	slice
And	boolop
Or	boolop
Add	operator
Sub	operator
Mult	operator
Div	operator
Mod	operator
Pow	operator
LShift	operator
RShift	operator
BitOr	operator
BitXor	operator
BitAnd	operator
FloorDiv	operator
Invert	unaryop
Not	unaryop
UAdd	unaryop
USub	unaryop
Eq	cmpop
NotEq	cmpop
Lt	cmpop
LtE	cmpop
Gt	cmpop
GtE	cmpop
Is	cmpop
IsNot	cmpop
In	cmpop
NotIn	cmpop
comprehension	comprehension
ExceptHandler	excepthandler
arguments	arguments
keyword	keyword
alias	alias